,Company Name,Industry,Symbol,Series,ISIN Code
205,Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
206,Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018
207,Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011
208,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
209,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
210,Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
211,Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
212,Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
213,Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
214,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
215,Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014
216,Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018
217,Swan Energy Ltd.,Diversified,SWANENERGY,EQ,INE665A01038
218,Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015
219,TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
220,TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027
221,TVS Supply Chain Solutions Ltd.,Services,TVSSCS,EQ,INE395N01027
222,Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
223,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
224,Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
225,Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
226,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
227,Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
228,Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
229,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
230,Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
231,UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
232,UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
233,Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,EQ,INE551W01018
234,Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
235,V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
236,V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
237,Valor Estate Ltd.,Realty,DBREALTY,EQ,INE879I01012
238,Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
239,Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035
240,Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
241,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024
242,Vinati Organics Ltd.,Chemicals,VINATIORGA,EQ,INE410B01037
243,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
244,Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
245,Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020
246,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
247,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
248,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
249,eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
