,Company Name,Industry,Symbol,Series,ISIN Code
82,SJVN Ltd.,Power,SJVN,EQ,INE002L01015
83,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
84,Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
85,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
86,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
87,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
88,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
89,Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
90,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
91,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
92,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
93,Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
94,Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
95,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
96,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
97,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
98,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
99,Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
