,Company Name,Industry,Symbol,Series,ISIN Code
219,Surya Roshni Ltd.,Capital Goods,SURYAROSNI,EQ,INE335A01020
220,Symphony Ltd.,Consumer Durables,SYMPHONY,EQ,INE225D01027
221,TARC Ltd.,Realty,TARC,EQ,INE0EK901012
222,TCI Express Ltd.,Services,TCIEXP,EQ,INE586V01016
223,TD Power Systems Ltd.,Capital Goods,TDPOWERSYS,EQ,INE419M01027
224,Teamlease Services Ltd.,Services,TEAMLEASE,EQ,INE985S01024
225,Technocraft Industries (India) Ltd.,Capital Goods,TIIL,EQ,INE545H01011
226,Tega Industries Ltd.,Capital Goods,TEGA,EQ,INE011K01018
227,Texmaco Rail & Eng. Ltd.,Capital Goods,TEXRAIL,EQ,INE621L01012
228,Thirumalai Chemicals Ltd.,Chemicals,TIRUMALCHM,EQ,INE338A01024
229,Thomas Cook (India) Ltd.,Consumer Services,THOMASCOOK,EQ,INE332A01027
230,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,TI,EQ,INE133E01013
231,Time Technoplast Ltd.,Capital Goods,TIMETECHNO,EQ,INE508G01029
232,Tips Music Ltd.,Media Entertainment & Publication,TIPSMUSIC,EQ,INE716B01029
233,Utkarsh Small Finance Bank Ltd.,Financial Services,UTKARSHBNK,EQ,INE735W01017
234,V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013
235,VST Industries Ltd.,Fast Moving Consumer Goods,VSTIND,EQ,INE710A01016
236,Va Tech Wabag Ltd.,Utilities,WABAG,EQ,INE956G01038
237,Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL,EQ,INE884A01027
238,Veedol Corporation Ltd.,Oil Gas & Consumable Fuels,VEEDOL,EQ,INE484C01030
239,Venky's (India) Ltd.,Fast Moving Consumer Goods,VENKEYS,EQ,INE398A01010
240,Venus Pipes & Tubes Ltd.,Capital Goods,VENUSPIPES,EQ,INE0JA001018
241,Vesuvius India Ltd.,Capital Goods,VESUVIUS,EQ,INE386A01015
242,Voltamp Transformers Ltd,Capital Goods,VOLTAMP,EQ,INE540H01012
243,Welspun Enterprises Ltd.,Construction,WELENT,EQ,INE625G01013
244,West Coast Paper Mills Ltd.,Forest Materials,WSTCSTPAPR,EQ,INE976A01021
245,Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025
246,Wonderla Holidays Ltd.,Consumer Services,WONDERLA,EQ,INE066O01014
247,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,YATHARTH,EQ,INE0JO301016
248,Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027
249,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01010
250,eMudhra Ltd.,Information Technology,EMUDHRA,EQ,INE01QM01018
