,Company Name,Industry,Symbol,Series,ISIN Code
54,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
55,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
56,Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
57,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
58,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
59,Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
60,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
61,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
62,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
63,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
64,Avalon Technologies Ltd.,Capital Goods,AVALON,EQ,INE0LCL01028
65,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
66,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
67,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
68,Azad Engineering Ltd.,Capital Goods,AZAD,EQ,INE02IJ01035
69,BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
70,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
71,BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
72,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
73,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
74,Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON,EQ,INE933K01021
75,Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025
76,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
77,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
78,Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021
79,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
80,Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
81,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
82,Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE,EQ,INE164A01016
83,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
84,Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025
85,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
